Id,SalePrice
1461,126831.23065032312
1462,159358.7297818044
1463,190425.20388153597
1464,203739.19435444303
1465,191387.8935750627
1466,174859.40688374155
1467,171746.58445399025
1468,164583.5739331258
1469,182869.69417754552
1470,131302.27239968203
1471,200493.1059822894
1472,98119.8676280206
1473,98494.94216116359
1474,151392.94966309093
1475,127161.11130584162
1476,381766.9697960609
1477,259683.34624776535
1478,284333.8856235351
1479,296423.43016744783
1480,463720.604116552
1481,331266.5606028256
1482,199380.59295140856
1483,176698.6916281298
1484,178331.5981883119
1485,180792.01464168186
1486,191968.24203579547
1487,331590.1117062406
1488,230936.78916826888
1489,202773.8503088789
1490,228747.70480773016
1491,187408.34633184702
1492,85276.13253052275
1493,190944.95867048413
1494,297595.2795061283
1495,278468.3708806425
1496,245173.25597685334
1497,185543.13209977746
1498,160638.78838142
1499,163365.4806924327
1500,154895.64574305675
1501,174612.14925483463
1502,150458.6996705003
1503,282226.4963605266
1504,248125.0544212479
1505,232524.48097251487
1506,178926.04129027016
1507,242395.08204314407
1508,195263.5107465454
1509,160033.68599730523
1510,147130.4194262832
1511,145537.18679799282
1512,173142.93153979417
1513,129441.20362672186
1514,153200.76420680768
1515,201212.6158085209
1516,147321.55265713355
1517,165501.7616280438
1518,130359.72618518509
1519,215667.02673169272
1520,140109.54693391715
1521,139033.3778685629
1522,170624.56544319092
1523,112603.7629414057
1524,121962.75871046288
1525,127232.75965776348
1526,114183.63503099828
1527,103553.52881503107
1528,132726.48330021428
1529,151923.45614876508
1530,173826.1203447965
1531,100332.18240352113
1532,99561.72960389838
1533,139993.01592333918
1534,123046.6090288495
1535,159127.64699041113
1536,118074.91050978436
1537,66735.65451842158
1538,155628.2463960308
1539,208719.0173343379
1540,94552.98256969219
1541,142704.09280597907
1542,144196.69453397248
1543,207142.87715954025
1544,80205.46014866367
1545,102945.89608169447
1546,135708.9508202606
1547,132196.63875339052
1548,139766.20928593597
1549,117419.76680285612
1550,145452.2937070148
1551,113252.36132482882
1552,136640.64581109985
1553,152905.26313638705
1554,112579.75330264983
1555,166510.20590552827
1556,73023.57959464654
1557,102551.63622891557
1558,95819.03034501724
1559,78510.2405180125
1560,144123.84961795606
1561,126372.57354852781
1562,129120.3535663046
1563,121551.80228184804
1564,150367.0579337482
1565,145249.68474969847
1566,224355.85278320566
1567,65852.01454113662
1568,221595.16173562815
1569,135167.1758691539
1570,136255.88697429994
1571,125025.94248124424
1572,146494.79306659385
1573,249963.5849236508
1574,104815.400989051
1575,215679.8131264983
1576,246010.28058649504
1577,195240.81483953525
1578,148271.64514916076
1579,145414.0241217736
1580,189852.15792361362
1581,148138.83107392857
1582,127890.34789353619
1583,312905.4651019517
1584,239027.83702047518
1585,140862.84877759026
1586,72152.08651879428
1587,93967.72433435636
1588,152294.562181878
1589,90090.99010225956
1590,130942.27649309373
1591,94797.99575366697
1592,118461.77780766084
1593,124606.93678093536
1594,132206.4352926907
1595,112126.11476359496
1596,240439.7859619383
1597,181393.5885025963
1598,202924.14590534774
1599,188020.72406303903
1600,186480.9333348328
1601,70296.30897011938
1602,109326.15019840136
1603,82815.7140095088
1604,266392.8281556903
1605,246614.6454855306
1606,171700.37543218766
1607,171302.96456228892
1608,212133.0778925078
1609,186646.39086141644
1610,149514.47427470383
